date,index_level,index_return,companies_count,version
2025-01-03,102.1752,0.021752,50,v1.0
2025-01-10,100.1299,-0.020018,50,v1.0
2025-01-17,101.1631,0.010319,50,v1.0
2025-01-24,101.2537,0.000895,50,v1.0
2025-01-31,101.5013,0.002445,50,v1.0
2025-02-07,100.8944,-0.00598,50,v1.0
2025-02-14,100.5062,-0.003847,50,v1.0
2025-02-21,96.6107,-0.038759,50,v1.0
2025-02-28,97.5339,0.009556,50,v1.0
2025-03-07,97.9198,0.003956,50,v1.0
2025-03-14,101.5562,0.037137,50,v1.0
2025-03-21,102.0925,0.005281,50,v1.0
2025-03-28,98.9017,-0.031254,50,v1.0
2025-04-04,92.2592,-0.067163,50,v1.0
2025-04-11,93.48,0.013232,50,v1.0
2025-04-25,94.8918,0.015103,50,v1.0
2025-05-02,97.0785,0.023044,50,v1.0
2025-05-09,96.699,-0.003909,50,v1.0
2025-05-16,97.4914,0.008195,50,v1.0
2025-05-23,96.3125,-0.012093,50,v1.0
2025-05-30,96.3591,0.000484,50,v1.0
2025-06-06,96.9545,0.006179,50,v1.0
2025-06-13,94.9079,-0.021109,50,v1.0
2025-06-20,94.1037,-0.008473,50,v1.0
2025-06-27,94.2492,0.001546,50,v1.0
2025-07-11,92.8501,-0.014845,50,v1.0
2025-07-18,93.6914,0.009061,50,v1.0
2025-07-25,94.3297,0.006812,50,v1.0
2025-08-01,91.2676,-0.032462,50,v1.0
2025-08-08,90.1699,-0.012027,50,v1.0
2025-08-15,90.8896,0.007982,50,v1.0
2025-08-22,93.1304,0.024654,50,v1.0
2025-08-29,91.51,-0.0174,50,v1.0
2025-09-05,93.0024,0.016309,50,v1.0
2025-09-12,92.3107,-0.007437,50,v1.0
2025-09-19,92.5393,0.002477,50,v1.0
2025-09-26,93.2697,0.007893,50,v1.0
2025-10-03,92.8535,-0.004463,50,v1.0
2025-10-10,88.83,-0.043332,50,v1.0
2025-10-17,88.77,-0.000676,50,v1.0
2025-10-24,89.9878,0.013719,50,v1.0
2025-10-31,91.7538,0.019625,50,v1.0
2025-11-07,91.9925,0.002602,50,v1.0
2025-11-14,92.1898,0.002144,50,v1.0
2025-11-21,92.5151,0.003529,50,v1.0
2025-11-28,93.7306,0.013139,50,v1.0
2025-12-05,94.5439,0.008677,50,v1.0
2025-12-12,92.1185,-0.025653,48,v1.0
2025-12-19,93.5481,0.015519,50,v1.0
2025-12-26,93.7488,0.002145,50,v1.0
2026-01-02,93.3047,-0.004737,50,v1.0
2026-01-09,93.603,0.003197,50,v1.0
2026-01-16,93.102,-0.005352,50,v1.0
2026-01-23,92.7543,-0.003735,50,v1.0
2026-01-30,90.382,-0.025577,50,v1.0
